,predict,grouth_True,class_id
60,HOMINIMART ANANI,MINIMART ANAN,SELLER
61,Chợ Sủi Phú Thị Gia Lâm Thị,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
62,Ngày: 09/08/2020-09:17,Ngày: 09/08/2020-09:17,TIMESTAMP
63,Tổng cộng:,Tổng cộng,TOTAL_COST
64,"112,000","112,000",TOTAL_COST
65,Vincommerce,VinCommerce,SELLER
66,VM% ONH DỰ ÁN KDC lấn biên cọc 6,VM+QNH Dự án KDC lấn biển cọc 6,ADDRESS
67,"DA khu DCLB coc 8, P. Cảm Sơn",DA Khu DC1 B Coc B.P Cẩm Sơn,ADDRESS
68,"TP. Cảm Phá, T. Quảng Ninh","TP.Cẩm Phả, T.Quảng Ninh",ADDRESS
69,Ngày bán: 12/08/2020 12:00,Ngày bán: 12/08/2020 12:00,TIMESTAMP
70,TỔNG TIỀN PHẢI T.TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
71,14.544,14.544,TOTAL_COST
72,Vincommerce,VinCommerce,SELLER
73,VIM4 ONH DƯ ÁN KDC IẤN BIỂN CỌC 8,VM+QNH Dự án KDC lấn biển cọc 6,ADDRESS
74,"DA khu DCLB cọc 8, P. Cảm Sơn","DA khu DCLB cọc 6, P.Cẩm Sơn",ADDRESS
75,"TP. Cảm Phà, T. Quảng Ninh","TP.Cẩm Phả, T.Quảng Ninh",ADDRESS
76,Ngày bán: 12/08/2020 18:13,Ngày bán: 12/08/2020 18:13,TIMESTAMP
77,TỔNG TIỀN PHẢI T.TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
78,309.000,309.000,TOTAL_COST
79,Ngày bán: 17/08/2020 06:28,Ngày bán: 17/08/2020 06:28,TIMESTAMP
80,TỔNG TIỀN PHAI T.TOÁN 48.900,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
81,Vincommerce,VinCommerce,SELLER
82,VM4 QNH 88 Trần Phú,VM+ QNH 86 Trần Phú,ADDRESS
83,"Số 86 Đường Trần Phú, P. Càm Tây","Số 86 Đường Trần Phú, P. Cẩm Tây",ADDRESS
84,"TP Cẩm Pha, T, Quảng Ninh, Ninh","TP Cẩm Phả, T.Quảng Ninh.",ADDRESS
85,Ngày bán:10/08/2020 10:50,Ngày bán: 10/08/2020 10:50,TIMESTAMP
86,TỔNG TIỀN PHẢI T. TOÁN,HỒNG TIẾN PHẢI T.TOÁN,TOTAL_COST
87,7.800,7.800,TOTAL_COST
88,Vincommerce,VinCommerce,SELLER
89,VM4 QNH Dự án KDC lấn biển coc 8,VM+ QNH Dự án KDC lấn biên coc 6,ADDRESS
90,"DA khu DCLB cọc 8, P. Cầm Sơn","DA khu DCLB cọc 6, P. Cẩm Sơn",ADDRESS
91,"TP. Cầm Phả, T. Quảng Ninh","TP . Cẩm Phả , T. Quảng Ninh",ADDRESS
92,Ngày bán:15/08/2020 10:28,Ngày bán: 15/08/2020 10:28,TIMESTAMP
93,TỔNG TIỀN PHẢI T. TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
94,122.400,122.400,TOTAL_COST
95,MINIMART ANAN,MINIMART ANAN,SELLER
96,Chợ Sủi Phú Thị Gia Lâm,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
97,Ngày: 16/08/2020-17:18,Ngày : 16/08/2020 - 17:18,TIMESTAMP
98,Tổng cộng:,Tổng cộng :,TOTAL_COST
99,"127,000","127,000",TOTAL_COST
100,CỬA HÀNG NĂM OÁNH,CỬA HÀNG NĂM OÁNH,SELLER
101,"Thôn Phú Thuy, Xã Phú Thi, Huyện Gia Lâm, TP Hà Nội Nội","Thôn Phú Thụy, Xã Phú Thị, Huyện Gia Lâm, TP Hà Nội",ADDRESS
102,Ngày: 12-08-2020,Ngày: 12-08-2020,TIMESTAMP
103,Cộng tiền hàng,Cộng tiền hàng,TOTAL_COST
104,"178,000","178,000",TOTAL_COST
105,CỬA HÀNG NĂM OÁNH,CỬA HÀNG NĂM OÁNH,SELLER
106,"Thôn Phú Thuy, Xà Phú Thị, Huyện Gia Lâm, TP Hà Nội","Thôn Phú Thuỵ, Xã Phú Thị, Huyện Gia Lâm, TP Hà Nội",ADDRESS
107,Cộng tiền hàng,Cộng tiền hàng tiền hàng,TOTAL_COST
108,"63,000",63.000,TOTAL_COST
109,Ngày: 12-08-2020),Ngày: 12-08-2020,TIMESTAMP
110,NHÀ SÁCH GD-TC CẨM PHẢ,NHÀ SÁCH GD-TC CẨM PHẢ,SELLER
111,Đc: 212 Đường Trần Phú-Cẩm Phả,ĐC: 212 Đường Trần Phú-Cẩm Phả,ADDRESS
112,Thời gian:21:07:49 - 14/08/2020,Thời gian 21:07:49 - 14/08/2020,TIMESTAMP
113,Tổng số thanh toán:,Tống số thanh toán:,TOTAL_COST
114,106.000d,408.000đ,TOTAL_COST
115,TẾN ĐẠI LÝ: TỶ,TIỀN ĐẠI LÝ:,SELLER
116,5156-VINMART,5156 VINMART,SELLER
117,5156-tu 7 ninh tien a,5156 TỔ 7 MINH TIẾN A,ADDRESS
118,CAM BINH CAM PHA ON,"CẨM BÌNH, CẨM PHẢ QN",ADDRESS
119,NGÀY:,NAM,TIMESTAMP
120,13/08/2020,13/08/2020,TIMESTAMP
121,GIỜ:,GIỜ:,TIMESTAMP
122,22:01:68,22:04:08,TIMESTAMP
123,TỔNG:,TỔNG:,TOTAL_COST
124,3,3,TOTAL_COST
125,"UND1,520,27","VMD1, 528, 279",TOTAL_COST
126,MINIMART ANAN,MINIMART ANAN,SELLER
127,Chợ Sùi Phú Thị Gia Lam,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
128,Ngày: 16/08/2020-14:51,Ngày: 16/08/2020-14:51,TIMESTAMP
129,"136,000","136,000",TOTAL_COST
130,Tổng cộng,Tổng cộng,TOTAL_COST
131,THỨC COFFEE,THỨC COFFEE,SELLER
132,"22 Quang Trung, P10, Gò Vấp","22 Quang Trung, P10, Gò Vấp",ADDRESS
133,Ngày:,Ngày:,TIMESTAMP
134,21.04.2011,21.04.201,TIMESTAMP
135,Giờ vào:,Giờ vào:,TIMESTAMP
136,09.10,09.10,TIMESTAMP
137,Giờ ra:,Giờ ra:,TIMESTAMP
138,Tiền Thanh Toán:,Tiền Thanh Toán,TOTAL_COST
139,35 000,35 000,TOTAL_COST
140,TÊN ĐẠI LÝ:,TEN DAI LY,SELLER
141,UGR VINMART 1987 UMQNH,VGK VINMART 4987 VMQMH,SELLER
142,ĐỊA CHỈ ĐAI LÝ,ĐỊA CHỈ ĐẠI LÝ:,ADDRESS
143,10 8 KHU 3B P CAN TRUNG THU,TỔ 8 KHU 3B P.CẨM TRUNG,ADDRESS
144,CAM PHA QUANG NINH,CAM PHA QUANG NINH,ADDRESS
145,NGÀY:,NGÀY:,TIMESTAMP
146,20/05/2020,20/05/2020,TIMESTAMP
147,18:45:09,18:45.09,TIMESTAMP
148,TỔNG CÔNG:,TỔNG CỘNG:,TOTAL_COST
149,"UND75,500","VND75,500",TOTAL_COST
150,MINIMART ANAN,MINIMART ANAN,SELLER
151,Chợ Sủi Phú Thị Gia Lâm,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
152,Ngày: 12/08/2020-12:10,Ngày: 12/08/2020-12:10,TIMESTAMP
153,Tổng cộng:,Tổng cộng :,TOTAL_COST
154,"105,000","105,000",TOTAL_COST
155,In the coffee house,THE COFFEE H9USE,SELLER
156,"403 Phan Huy Ich, P.14, Q.Gò Vấp","403 Phan Huy Ích, P.14, Q Gò Vấp",ADDRESS
157,11 Thời gian:30.09.2020 07.57,Thời gian: 30:09:20200757,TIMESTAMP
158,Thanh Toán:,Thanh Toán,TOTAL_COST
159,148000,48 000,TOTAL_COST
160,XÃ TÊN ĐẠI LÝ:,TÊN ĐẠI LÝ,SELLER
161,UGR VINMART 1900 UNH,VGH_VINMART_4939_VMQNH,SELLER
162,TỪ ĐỊA CHỈ ĐẠI LÝ:::,ĐỊA CHỈ ĐẠI LÝ:,ADDRESS
163,2060:202 tran mj,2060-2062 TRẦN PHÚ,ADDRESS
164,va can pha quang ninh thu,CAM PHA QUANG NINH,ADDRESS
165,NGÀY:,NGÀY,TIMESTAMP
166,14/08/2020,14/08/2020,TIMESTAMP
167,GIÓ:,600đ,TIMESTAMP
168,22:04:37,22:04:37,TIMESTAMP
169,TỐNG CỘNG 1,TỔNG CỘNG,TOTAL_COST
170,"UNDA19,339","VND 419,339",TOTAL_COST
171,Vincommerce,VinCommerce,SELLER
172,"1 Mở Ong Tố 7, Khu Minh Tiền Anh","VM+ QNH Tổ 7, khu Minh Tiến A",ADDRESS
173,"P. Cầm Bình, TP. Cầm Phú, ONNG","P.Cẩm Bình, TP.Cẩm Phả, QNH",ADDRESS
174,Ngày bán: 12/08/2020,Ngày bán: 12/08/2020 19:20,TIMESTAMP
175,TỔNG TIẾN PHẢI T.TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
176,9.744,9.744,TOTAL_COST
177,Cơ.0p Saigon Co.OPK-PARK,saigon co.op co.op Food HN THE K-PARK,SELLER
178,PHILOTIC,"Tang 1,SH42 - Toa K3, Cong trinh chung cu",ADDRESS
179,Ngay: 20/09/2019 12:29:42,Ngày: 20/09/2019 12:29:42,TIMESTAMP
180,"Tong so tien thanh toan: toan: 19958,800.00",Tong so tien thanh toan:,TOTAL_COST
181,CỬA HÀNG NĂM OÁNH,CỬA HÀNG NĂM OÁNH,SELLER
182,"Thôn Phú Thuy, Xã Phủ Thí, Huyện Gia Lâm, TP Hà Nội","Thôn Phú Thuỵ , Xã Phú Thị , Huyện Gia Lâm , TP Hà Nội",ADDRESS
183,Ngày: 12-08-2020,Ngày: 12-08-2020,TIMESTAMP
184,Cộng tiền hàng,Cộng tiền hàng,TOTAL_COST
185,"133,000","133,000",TOTAL_COST
186,Vincommerce,VinCommerce,SELLER
187,VM4 HCM 793 Nguyễn Kiệm,VM+ HCMA T93 Nguyễn Kiệm,ADDRESS
188,"793 Nguyễn Kiệm, Phường 3,","T93 Nguyễn Kiệm, Phường 3",ADDRESS
189,"Quận Gò Vấp, Tp.HCM","Quận Gò Vấp, TP HCM",ADDRESS
190,Ngày bán:24/03/2019 20:09,Ngày bán: 24/03/2019 20:09,TIMESTAMP
191,TỔNG TIỀN PHẢI T. TOÁN,HỒNG TIẾN PHẢI T.TOÁN,TOTAL_COST
192,28.200,28.200,TOTAL_COST
193,Vincommerce,VinCommerce,SELLER
194,"VM% QNH Tổ 7, Khu Minh Tiến A","VMN-QNH Tổ 7, Khu Minh Tiến A",ADDRESS
195,Tổ 7. Khu Minh Tiến A Mỹ,Tổ 7 Khu Minh Tiến A,ADDRESS
196,"P. Cẩm Bình, TP. Cầm Phá, QNH","P.Cẩm Bình, TP. Cẩm Phả, QNH",ADDRESS
197,Ngày bán:14/08/2020 14:54,Ngày bán: 14/08/2020 14:54,TIMESTAMP
198,TỔNG TIỀN PHẢI T.TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
199,12.500,12.500,TOTAL_COST
200,MINIMART ANAN,MINIMART ANAN,SELLER
201,Chợ Sủi Phú Thị Gia Lâm,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
202,Tổng cộng:,Tổng cộng,TOTAL_COST
203,"442,000","442,000",TOTAL_COST
204,Ngày: 15/08/2020-07:53,Ngày : 15/08/2020 07:53,TIMESTAMP
205,Cafe CJ Bui Iding,Cafe CJ Building,SELLER
206,"GJ Building, 6 Le Thanh Ton Street.","CJ Building, 6 Le Thanh Ton Street",ADDRESS
207,"Ben Nghe Ward, Dist.1, HcMn Str","Ben Nghe Ward, Dist, 1, HCM City",ADDRESS
208,08/12/2020 09:23,08/12/2020 09:23,TIMESTAMP
209,CASH,CASH,TOTAL_COST
210,"420,000","420,000",TOTAL_COST
211,Vincommerce,VinCommerce,SELLER
212,VM% QNH Dư án KDC lấn biển coc 6,VM+ QNH Dự án KDC lấn biển coc 6,ADDRESS
213,"DA khu DCLB cọc 8, p. câm sơn","DA khu DCLB coc 6,P.Cẩm Sơn",ADDRESS
214,"TP. Cầm Phà, T. Quàng Ninh","TP. Cẩm Phả, T.Quảng Ninh",ADDRESS
215,Ngày:14/08/2020,Ngày : 14/08/2020,TIMESTAMP
216,Thời gian:21:41,Thời gian: 21:41,TIMESTAMP
217,"244/23a Huỳnh Văn Bánh, P.11, Q.PN","244/23a Huỳnh Văn Bánh, P.11, Q.PN",ADDRESS
218,Ngày/ giờ vào: 1,Ngày giờ vào:,TIMESTAMP
219,04.10.2020 16.19,04.10.2020 16.19,TIMESTAMP
220,Ngày/ giờ ra:,Ngày/ giờ ra:,TIMESTAMP
221,04.10.2020 16.21,04.10.2020 16.21,TIMESTAMP
222,Tiên Thanh Toán:,Tiền thanh toán:,TOTAL_COST
223,88.000,88 000,TOTAL_COST
224,"Số 59 Xuân La, quận Tây Hồ, HN","Số 59 Xuân La, quận Tây Hồ, HN",ADDRESS
225,08101/2020,09/01/2020,TIMESTAMP
226,Tổng gia trị TT:,"Tổng giá trị TT: 145,880",TOTAL_COST
227,MINIMART ANAN,MINIMART ANAN,SELLER
228,Chợ Sủi Phú Thị Gia Lâm,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
229,Ngày: 15/08/2020-08:42,Ngày : 15/08/2020 08:42,TIMESTAMP
230,"64,000","64,000",TOTAL_COST
231,Tổng cộng,Tổng cộng cộng,TOTAL_COST
232,MINIMART ANAN,MINIMART ANAN,SELLER
233,Chợ Sủi Phù Thị Gia Lâm,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
234,Ngày: 15/08/2020-18:22,Ngày: 15/08/2020-18:22,TIMESTAMP
235,Tổng cộng 1,Tổng cộng,TOTAL_COST
236,"236,000","236,000",TOTAL_COST
237,Vincommerce,VinCommerce,SELLER
238,VM4 QNH 112 Thanh Niên,VM+ QNH 112 Thanh Niên,ADDRESS
239,"Số 112 Thanh Niên, P. Cảm Thành","Số 112 Thanh Hóa, P. Cẩm Thành",ADDRESS
240,"TP. Cầm Phả, Quảng Ninh","TP. Cẩm Phả, Quảng Ninh",ADDRESS
241,Ngày bán: 10/08/2020 13:27,Ngày bán: 10/08/2020 13:27,TIMESTAMP
242,TỔNG TIỀN PHẢI T.TOÁN THỊ,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
243,21.300,21.300,TOTAL_COST
244,MINIMART ANAN,MINIMART ANAN,SELLER
245,Chợ Sủi Phú Thị Gia Lâm,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
246,Ngày: 15/08/2020-09:00,Ngày: 15/08/2020-09 : 00,TIMESTAMP
247,Tổng tiền:,Tổng tiền:,TOTAL_COST
248,"238,008","238,008",TOTAL_COST
249,Nhà Hàng Aozora Sushi,Nhà Hàng Aozora Sushi,SELLER
250,Thời gian:,Thời gian,TIMESTAMP
251,15:08-202019:31,15-08-2020 19:31,TIMESTAMP
252,Tổng,Tổng,TOTAL_COST
253,"421,000","421,000đ",TOTAL_COST
254,HCM 783 Nguyễn Kiệm,HCM 793 Nguyễn Kiệm,SELLER
255,7931,793,ADDRESS
256,"VINH, CUỘN GO VẬP, PHẦN","VM + Quận Gò Vấp, TP HCM",ADDRESS
257,Ngày bán:30/03/2019,Ngày bán: 30/03/2019,TIMESTAMP
258,TỔNG TIẾN PHẢI T.TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
259,Vincommerce,VinCommerce,SELLER
260,"Nguyễn Kiện, Viên Kiện",Nguyễn Kiêm. Phường 3,ADDRESS
261,TỔNG TIẾN PHẢI T. YOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
262,105.806,105.806,TOTAL_COST
263,Guitar Cafe,Guitar Cafe,SELLER
264,"28 Phan Chu Trinh, Hiệp Phú, Quân 9, Hồ","28 Phan Chu Trinh, Hiệp Phú, Quận 9, Hồ",ADDRESS
265,Ngày lập: 05/10/2020,Ngày lấp: 05/10/2020,TIMESTAMP
266,"Thành tiên: 25,000","Thành tiền: 25,000",TOTAL_COST
267,Vincommerce,VinCommerce,SELLER
268,VIM ONH 1080-1082 TRần Phú,Vin+QNH 1060-1062 Trần Phú,ADDRESS
269,Số 1060-1082 Đường Trần Phú,Số 1060-1062 Đường Trần Phú,ADDRESS
270,"TP. Cầm Phả, Quảng Niên","TP. Cẩm Phả, Quảng Ninh",ADDRESS
271,Ngày bán: 13/0B/2020 20:56,Ngày bán: 13/08/2020 20:56,TIMESTAMP
272,TỔNG TIẾN PHẢI T. TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
273,33.600,33.600,TOTAL_COST
274,Pharmacity,Pharmacity,SELLER
275,1951 Đường số 8,51 Dương số 8,ADDRESS
276,51 Đường Số 8 Thủ Đức,51 Đường số 8 Thủ Đức,ADDRESS
277,Ngày: 1/6/2020,Ngày: 1/6/2020,TIMESTAMP
278,Giờ: 12:25,Giờ: 12:25,TIMESTAMP
279,Tổng tiền sau KM:,Tổng tiền sau KH:,TOTAL_COST
280,"45,280","45,280",TOTAL_COST
281,NHÀ SÁCH GD-TC CẨM PHẢ,NHÀ SÁCH GD-TC CẨM PHẢ,SELLER
282,Đc: 212 Đường Trần Phú-Cẩm Phả,ĐC: 212 Đường Trần Phú-Cẩm Phả,ADDRESS
283,Thời gian:17:33:49 - 14/08/2020,Thời gian: 17:33:49 - 14/08/2020,TIMESTAMP
284,Tổng số thanh toán:,Tổng số thanh toán:,TOTAL_COST
285,58.000d,58.000đ,TOTAL_COST
286,Vincommerce,VinCommerce,SELLER
287,VM% QNH Dư án quỹ đất đường sắt,VM + QNH Dự án quỹ đất đường sắt,ADDRESS
288,DA QĐ dọc tuyển ĐS Tổ 3 Khu 2,DA QĐ doc tuyến ĐS Tổ 3 Khu 2,ADDRESS
289,"P. Câm Sơn, TP. Cảm Phà, T.GN","P.Cẩm Sơn, TP.Cẩm Phả, T.QN",ADDRESS
290,Ngày bán:15/08/2020 11:41,Ngày bán: 15/08/2020 11:41,TIMESTAMP
291,TỔNG TIẾN PHẢI T. TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
292,30.900,30.900,TOTAL_COST
293,MINIMARTANAN,MINIMART ANAN,SELLER
294,Chợ Sủi Phú Thị Gia Lâm,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
295,Ngày: 13/08/2020-10:27,Ngày: 13/08/2020 - 10:27,TIMESTAMP
296,Tổng cộng:,Tổng cộng:,TOTAL_COST
297,"200,000","200,000",TOTAL_COST
298,THE COFFEE HOUSE,THE COFFEE HQUSE,SELLER
299,PHE CONTRONG CHO VIỆT NAM THỊ THỊ THỊ NAM THẾ CHO THẾ CHO THẾ CHO CHO THẾ CHO CHO CHO CHO CHO C CHO C C CHO C C C C C C C C C C C,"403 Phan Huy Ích, P.14, Q.Gò Vấp",ADDRESS
300,Thời gian 02.10 2020 1419,"Thời gian: 02,10.2020 14.19",TIMESTAMP
301,Thanh Toán,Thanh Toán:,TOTAL_COST
302,32000,32000,TOTAL_COST
303,MINIMART ANAN,MINIMART ANAN,SELLER
304,Chợ Sủi Phú Thị Gia Làm,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
305,Ngày: 10/08/2020-17:39,Ngày: 10/09/2020 - 17:39,TOTAL_COST
306,Tổng tiền:,Tổng tiền:,TIMESTAMP
307,"410,006","410,0006",TOTAL_COST
308,LÝ TÊN ĐẠI LÝ:,TÊN ĐẠI LÝ:,SELLER
309,QUIMMART,VINMART,SELLER
310,ĐỊA CHỈ:,ĐỊA CHỈ,ADDRESS
311,DƯ ÁN KHU DÀN CƯ LẤN BIỂN,. DỰ ÁN KHU DÂN CƯ LẤN BIỂN,ADDRESS
312,HỂ THỜI GIAN,THỜI GIAN,TIMESTAMP
313,14:08/2020 12:36:68,14/08/2020 12:36:08,TIMESTAMP
314,TẠI QUÁY,TẠI QUẦY,TOTAL_COST
315,02,02 02,TOTAL_COST
316,502.960 Đ,502.960 Đ,TOTAL_COST
317,SIÊU THỊ MINH LOAN,SIỀU THỊ MINH LOAN,SELLER
318,TT101 CC 12 Tầng Ngõ 25 Vũ Ngọc Phan,TT101 CC 12 Tầng Ngõ 25 Vũ Ngọc Phan,ADDRESS
319,Ngày:,Ngày tháng năm,TIMESTAMP
320,18/07/2020 12:33:53,18/07/2020 12:3353,TIMESTAMP
321,Tống tiền (VND):,Tổng tiền (VND),TOTAL_COST
322,"168,000","168,000",TOTAL_COST
323,Vincommerce,VinCommerce,SELLER
324,VM4 QNH 86 Trần Phú,VM+ QNH 86 Trần Phú,ADDRESS
325,"Số 86 Đường Trần Phú, P. Cảm Tây",Số 86 Đường Trần Phú P. Cẩm Tây,ADDRESS
326,"TP Cầm Phả, T. Quảng Ninh.","TP Cẩm Phả, T.Quảng Ninh",ADDRESS
327,Ngày bán:08/08/2020 17:21,Ngày bán: 08/08/2020 17:21,TIMESTAMP
328,TỔNG TIỀN PHẢI T. TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
329,61.800,61.800,TOTAL_COST
330,NHÀ SÁCH GD-TC CẨM PHẢ,NHÀ SÁCH GD-TC CẨM PHẢ,SELLER
331,Đc: 212 Đường Trần Phú-Cẩm Phả,ĐC: 212 Đường Trần Phú-Cẩm Phả,ADDRESS
332,Thời gian:20:14:21 - 14/08/2020,Thời gian 20:14:21 - 14/08/2020,TIMESTAMP
333,Tổng số thanh toán,Tổng số thanh toán:,TOTAL_COST
334,15.000,15.000đ,TOTAL_COST
335,NHÀ SÁCH GD-TC CẤM PHẢ,NHÀ SÁCH GD-TC CẨM PHẢ,SELLER
336,Đc: 212 Đường Trần Phú-Cẩm Phả,ĐC: 212 Đường Trần Phú-Cẩm Phả,ADDRESS
337,Thời gian:10:40.09 - 13/08/2020,Thời gian: 10:40:09-13/08/2020,TIMESTAMP
338,Tổng số thanh toán:,Tổng số thanh toán,TOTAL_COST
339,7.0008,7.000đ,TOTAL_COST
340,Od,0đ,TOTAL_COST
341,7.000đ,7.000đ,TOTAL_COST
342,17.0004,7.000đ,TOTAL_COST
343,0,0,TOTAL_COST
344,7.000,7.000,TOTAL_COST
345,1,1,TOTAL_COST
346,Thành tiến,Thành Tiền,TOTAL_COST
347,Ck,CK CK,TOTAL_COST
348,Giá,Giá,TOTAL_COST
349,SL,SL,TOTAL_COST
350,Tổng cộng:,Tổng cộng:,TOTAL_COST
351,03100000099,Giấy thủ công A4,TOTAL_COST
352,Chiết khấu bán hàng:,Chiết khấu bán hàng,TOTAL_COST
353,Tên hàng,Tên hàng,TOTAL_COST
354,ĐT 0333863328 - Fax 0333863328,ĐT 0333863328 - Fax 0333863328,TOTAL_COST
355,Nhân viên thu ngân:,Nhân viên thu ngân,TOTAL_COST
356,PHÔ MỎI,PHỐ MỎ,SELLER
357,Tổ 7 khu Tân Lập 4 - P.Cẩm Thủy Thuận,Tổ 7 khu Tân Lập 4 - P . Cẩm Thủy,ADDRESS
358,0310812020 20.14,13/08/2020- 20 14,TIMESTAMP
